,Cp1,Cp2,Cp3,Cp4,Cp5,Cp6,Cp7,Cp9,Cp11,Ca2,Ca3,Ca5,Ca7,Ca9,Ca10,Ca11,Ca12,Ca13,Ca14,Ca15,Ca16,Ca17,Ca18,Ca19,Ca20,Ca21,Ca22,Ca23,Ca24,Ca25,Ca26,Ca27,Ca28,Ca29,Ca30,Ca31
14:00,4.77,3.91,4.22,3.31,2.64,2.05,2.06,3.14,2.54,4.12,3.26,3.5,3.23,3.64,3.23,NA,3.87,NA,NA,NA,4,4.08,3.67,3.56,4.24,3.4,4.08,3.68,4.05,4.77,3.25,5.46,4.11,4.09,3.34,3.31
14:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i15:0,0.4,0.34,0.53,0.45,0.17,0.12,0.12,0.14,0.15,0.18,0.11,0.1,0.12,0.13,0.08,NA,0.13,NA,NA,NA,0.26,0.14,0.16,0.1,0,0.08,0.19,0.14,0.07,0.08,0,0.09,0.18,0.15,0.16,0.08
ai15:0,0,0,0.11,0.11,0,0,0,0,0,0.02,0.02,0.01,0.02,0.02,0.01,NA,0,NA,NA,NA,0,0,0,0,0,0,0.04,0.04,0.01,0,0,0,0,0.02,0,0.01
15:00,0.68,0.54,0,0,0.34,0.35,0.3,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i16:0,0.32,0.26,0,0.31,0.18,0,0.24,0,0,1.84,0,0,0,0,0,NA,2.07,NA,NA,NA,1,1.36,1.35,1.83,1.09,2.01,1.78,2.09,1.84,2.12,1.68,1.27,1.19,2.02,1.51,1.53
14:0 alc,0,0,0,0,0,0,0,0,0,0,1.6,1.88,1.72,2.28,2.32,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ai16:0?,0,0,0,0,0,0,0.15,0,0,0.04,0.01,0.02,0.01,0.02,0,NA,0,NA,NA,NA,0,0.02,0,0,0,0,0.02,0.02,0.03,0.08,0,0,0,0,0.01,0.02
16:00,20.39,20.08,19.21,16.41,17.64,19.5,16.05,20.11,18.95,3.64,3.64,3.16,3.71,3.53,2.91,NA,9.52,NA,NA,NA,13.52,5.69,8.22,5.77,9.41,4.24,3.32,3.81,4.18,5.34,4.56,8.7,3.32,4.5,3.28,3.02
16:1n-11?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
16:1n-9?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:1n-7,4.08,3.68,3.87,2.7,2.68,2.16,1.27,3.73,1.74,5.45,4.05,5.53,4.27,6.04,5.29,NA,6.03,NA,NA,NA,5.67,5.06,6.88,5.63,6.87,6.07,5.95,4.99,6.47,7.69,4.76,7.9,5.91,6.17,4.88,4.45
16:1n-5?,0.31,0.24,0.26,0.25,0.21,0.19,0.18,0.23,0.18,0.14,0.15,0.14,0.15,0.16,0.15,NA,0.15,NA,NA,NA,0.2,0.17,0.19,0.13,0.18,0.13,0.17,0.18,0.17,0.22,0.14,0.24,0.14,0.19,0.18,0.13
i17:0,0.6,0.17,0.19,0.22,0.39,0.37,0.23,0.42,0.37,0.05,0.07,0.06,0.07,0.1,0.1,NA,0.1,NA,NA,NA,0,0.05,0,0.07,0,0.09,0.05,0.08,0.05,0.06,0.04,0,0,0.11,0.07,0.05
ai17:0?,0,0,0,0,0,0,0.33,0,0,0.01,0,0.01,0,0.01,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.03,0.07,0.03,0,0,0,0,0
16:2n-4,0.29,0.38,0.39,0.3,0.19,0.24,0.26,0.44,0.13,0.58,0.42,0.57,0.4,0.69,0.56,NA,0.28,NA,NA,NA,0.43,0.4,0.37,0.39,0.31,0.51,0.64,0.41,0.65,0.82,0.44,0.49,0.33,0.56,0.47,0.49
17:00,0.41,0.41,0.49,0.52,0.34,0.4,0.51,0.42,0.48,0,0.03,0,0.03,0,0,NA,0.08,NA,NA,NA,0.14,0.03,0,0.07,0,0.03,0.03,0.03,0,0,0.03,0.08,0,0.03,0.03,0
16:3n-4?,0.29,0.28,0.43,0.4,0.14,0.16,0.33,0.24,0.21,0.02,0.02,0.01,0.01,0.14,0.18,NA,0.12,NA,NA,NA,0.11,0.05,0.06,0.08,0,0.06,0.13,0.04,0.03,0.21,0.08,0.13,0.08,0.02,0.08,0.02
17:01,0.26,0.2,0.2,0.16,0.13,0.15,0.31,0.16,0.13,0.89,0.6,0.57,0.69,0.88,0.66,NA,0.33,NA,NA,NA,0.16,0.32,0.42,0.49,0.13,0.36,1.28,0.58,0.68,0.52,0.44,0.9,0.33,0.74,0.55,0.58
16:0 alc,0,0,0.1,0.08,0.1,0,0.43,0.13,0.17,2.56,2.57,2.66,2.68,3.13,3.05,NA,2.38,NA,NA,NA,1.53,1.74,1.88,2.52,1.46,3.1,2.56,3.26,2.54,2.61,2.7,1.71,1.61,2.84,2.51,2.49
16:4n-3,0,0,0.1,0,0,0,0,0,0,0.29,0.31,0.3,0.3,0.27,0.29,NA,0.33,NA,NA,NA,0.25,0.27,0.34,0.31,0.23,0.34,0.33,0.3,0.32,0.31,0.34,0.28,0.31,0.33,0.34,0.3
16:4n-1,0,0.24,0.31,0,0.08,0,0.2,0.27,0,0.05,0.4,0.11,0.32,0.63,0.44,NA,0.08,NA,NA,NA,0.28,0.11,0.17,0.07,0.37,0.03,0.3,0.12,0.29,0.2,0.17,0,0.18,0.53,0.2,0.15
16:1n-7 alc,0,0,0,0,0,0,0,0,0,0.81,0.49,0.88,0.57,0.92,0.85,NA,0.99,NA,NA,NA,0.46,0.47,0.75,0.74,0.62,0.9,0.73,0.57,0.8,0.87,0.48,0.7,0.44,0.76,0.53,0.53
18:00,3.46,6.99,5.13,3.43,4.37,7.22,6.1,5.57,5.27,0.74,0.77,0.54,1.15,0.95,0.69,NA,6.66,NA,NA,NA,12.18,3.74,6.65,3.22,4.99,1.72,0.49,0.63,0.7,1.54,2.16,4.37,1.54,0.81,0.56,0.39
18:1n-11?,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
18:1n-9tc?,2.99,2.43,2.8,2.48,2.01,1.91,3.81,1.82,2.91,2.25,2.43,2.01,2.37,2.29,2.21,NA,2.85,NA,NA,NA,3.35,2.13,2.96,3.29,2.62,2.28,2.94,3.13,2.41,2.6,2.6,2.23,1.75,2.89,2.36,1.79
18:1n-7,2.56,2.1,1.96,2.09,1.77,1.99,1.83,2.12,1.86,1.04,0.75,0.86,0.83,0.81,0.74,NA,1.37,NA,NA,NA,1.37,0.83,1.02,1.39,1.57,1.05,0.96,0.94,0.96,0.95,0.72,1.11,0.63,1.03,0.98,0.6
18:1n-6?,3.4,2.8,2.9,3.28,3.39,3.43,3.51,3.31,3.89,0.55,0.54,0.52,0.52,0.53,0.52,NA,0.67,NA,NA,NA,0.86,0.56,0.67,0.63,1.07,0.62,0.57,0.57,0.66,0.68,0.62,0.97,0.5,0.72,0.56,0.49
18:1n-5?,0.34,0.32,0.36,0.35,0.27,0.27,0.34,0.26,0.31,0.09,0.08,0.09,0.07,0.12,0.09,NA,0.08,NA,NA,NA,0.08,0.05,0.11,0.08,0,0.08,0.09,0.08,0.1,0.13,0.06,0,0,0.11,0.07,0.05
18:2n-6t&c?,1.28,0.98,1.12,0.75,0.93,0.65,0.63,0.82,0.79,0.43,0.48,0.39,0.44,0.48,0.52,NA,0.64,NA,NA,NA,1.46,0.43,0.87,0.65,0.64,0.48,0.85,0.74,0.5,0.62,0.58,0.46,0.39,0.58,0.48,0.37
18:2n-4,0.19,0.14,0.19,0.11,0.13,0.15,0.33,0.18,0.18,0.25,0.15,0.25,0.12,0.2,0.17,NA,0.13,NA,NA,NA,0.16,0.15,0.16,0.14,0.18,0.18,0.17,0.18,0.26,0.67,0.19,0.22,0.11,0.19,0.17,0.19
18:3n-6,0.23,0.26,0.24,0.21,0.19,0.16,0.28,0.23,0.17,0.02,0.41,0.39,0.06,0.13,0.09,NA,0.41,NA,NA,NA,0.3,0.37,0.5,0.47,0.29,0.46,0.1,0.38,0.43,0.36,0.46,0.3,0.4,0.4,0.47,0.39
19:00,0,0,0,0,0,0,0,0,0,0.4,0,0,0.37,0.32,0.36,NA,0,NA,NA,NA,0,0,0.09,0,0,0,0.36,0,0,0,0,0,0,0,0.01,0.01
18:3n-4,0,0,0,0.09,0,0,0.39,0,0,0.04,0.01,0.01,0.02,0.02,0.02,NA,0,NA,NA,NA,0,0.02,0.12,0,0,0.03,0.02,0.02,0.04,0.15,0.04,0,0,0.02,0.01,0.02
18:3n-3,1.18,0.89,0.85,0.69,0.54,0.51,0.4,0.45,0.55,0.22,0.22,0.16,0.16,0.25,0.23,NA,0.21,NA,NA,NA,0.18,0.08,0.06,0.12,0,0.11,0.42,0.4,0.18,0.11,0.2,0.08,0.06,0.29,0.18,0.15
18:4n-3,1.56,1.55,2.58,1.54,0.71,0.42,0.8,0.76,0.28,0.24,0.41,0.22,0.36,0.93,0.65,NA,0.29,NA,NA,NA,0.12,0.05,0.06,0.08,0,0.07,0.47,0.48,0.35,0.53,0.33,0.32,0.12,0.7,0.19,0.18
18:4n-1?,0.16,0.21,0.36,0.14,0.14,0,0,0.19,0,0.2,0.22,0.18,0.21,0.27,0.29,NA,0,NA,NA,NA,0,0.05,0,0.15,0,0.19,0.15,0.16,0.18,0.23,0.18,0,0,0.18,0.19,0.22
18:1n-9 alc,0,0,0,0,0,0,0.11,0,0,0.27,0.24,0.26,0.25,0.34,0.31,NA,0.3,NA,NA,NA,0.23,0.22,0.48,0.36,0.26,0.27,0.38,0.38,0.29,0.33,0.24,0.31,0.25,0.36,0.25,0.24
18:1n-7 alc,0.43,0,0,0,0,0,1.7,0,0.36,0.26,0.15,0.21,0.17,0.23,0.19,NA,0.23,NA,NA,NA,0.17,0.13,0.25,0.22,0.14,0.19,0.29,0.19,0.31,0.27,0.16,0.47,0.11,0.22,0.19,0.13
20:00,0,0.1,0.16,0.08,0.08,0.1,0,0.09,0,0.16,0.19,0.18,0.19,0.23,0.22,NA,0.2,NA,NA,NA,0.37,0.15,0.09,0.15,0.14,0.17,0.17,0.23,0.14,0.13,0.21,0.15,0.13,0.22,0.17,0.19
18:5n-3,0.16,0,0,0,0,0,0.45,0,0.1,0.02,0.01,0.01,0.01,0.01,0.01,NA,0,NA,NA,NA,0,0,0,0,0,0,0.03,0.01,0.04,0,0.06,0.11,0,0.02,0.01,0.01
20:1n-11,0,0,0,0.47,0.22,0,0.19,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0.13,0,0.14,0.2,0.25,0,0,0,0,0,0.29,0,0,0,0,0
20:1n-9,0.47,0.35,1.13,0,0,0.2,0,0.17,0.17,17.38,18.55,17.2,20.39,14.39,16.02,NA,14.65,NA,NA,NA,10.92,18.91,14.75,16.72,12.66,17.84,16.41,18.11,17.55,13.67,18.64,12.65,19.29,15.62,20.18,18.41
20:1n-7?,1.01,0.18,0.36,0.26,0.11,0.14,2.76,0.15,0.79,0.74,0.63,0.79,0.73,0.61,0.64,NA,0.51,NA,NA,NA,0.74,0.7,1,0.59,0.37,0.71,0.76,0.75,0.98,1.33,0.79,1.15,0.5,0.6,0.83,0.61
20:2n-6?,0.25,0.19,0.2,0.22,0.21,0.16,0.69,0.17,0.17,0.13,0.07,0.05,0.08,0.09,0.09,NA,0.1,NA,NA,NA,0.09,0.04,0.1,0.06,0,0.05,0.24,0.12,0.05,0.17,0.08,0.14,0,0.11,0.08,0.07
20:3n-6,0.14,0,0,0,0,0,0,0,0,0.16,0.16,0.15,0.11,0.13,0.12,NA,0.22,NA,NA,NA,0.18,0.2,0.09,0.05,0.29,0.14,0.17,0.16,0.12,0.18,0.17,0.2,0.24,0.18,0.16,0.24
21:0 & 20:3n-6 ?,0,0,0,0,0,0,0,0,0,0.04,0.03,0.03,0.03,0.03,0.04,NA,0,NA,NA,NA,0,0.03,0.15,0.17,0,0.03,0.05,0.04,0.04,0.05,0.05,0,0,0.04,0.04,0.03
20:4n-6,0.18,0.21,0.23,0.2,0.15,0.14,0.22,0.15,0.1,0.15,0.18,0.16,0.18,0.15,0.19,NA,0.19,NA,NA,NA,0.19,0.16,0.25,0.23,0.09,0.19,0.22,0.2,0.13,0.06,0.16,0.21,0.13,0.17,0.21,0.16
20:3n-3,0,0,0,0,0,0,0.58,0,0.16,0.01,0.01,0.01,0.01,0.01,0.01,NA,0,NA,NA,NA,0.07,0,0,0,0,0,0.04,0.04,0.06,0.15,0.07,0,0,0.05,0.01,0.02
20:4n-3,0.25,0.3,0.38,0.2,0.33,0.21,0.19,0.25,0.14,0.19,0.17,0.12,0.19,0.28,0.35,NA,0.15,NA,NA,NA,0.1,0.04,0.18,0.09,0.1,0.12,0.25,0.21,0.15,0.16,0.12,0.1,0,0.23,0.12,0.12
20:1 alc,0.19,0.1,0.11,0.07,0.12,0.11,0.27,0.12,0.12,20.77,22.45,22.15,25.52,20.92,22.6,NA,15.39,NA,NA,NA,10.39,21.12,15.98,19,11.95,22.45,19.12,21.67,22.87,17.01,21.62,13.95,20.27,19.7,24.67,22.15
20:5n-3,22.05,22.23,19.34,22.53,24.48,23.58,17.23,22.88,20.26,6.06,5.2,6.39,5.28,7.36,7.32,NA,5.28,NA,NA,NA,4.68,3.35,4.56,4.68,5.77,6.06,5.08,4.09,5.27,7.08,4.88,6.74,1.64,5.54,3.35,4.77
22:00,0,0,0.09,0,0.1,0,1.55,0,0.53,0.04,0.05,0.04,0.05,0.05,0.05,NA,0.12,NA,NA,NA,0.33,0.22,0,0.23,0,0.04,0.05,0.06,0.02,0,0,0,0.12,0.06,0.05,0.05
22:1n-11&13,0,0,1.45,0.11,0.12,0,0.64,0,0.33,6.83,8.4,7.62,0,6.17,6.01,NA,6.73,NA,NA,NA,5.73,7.89,6.74,7.05,9.27,5.9,7.1,6.9,5.99,6.43,8.08,6.16,9.62,6.74,7.04,9.1
22:1n-9,0.55,0.55,2.5,0.82,0.38,0.43,2.07,0.58,0.84,2.5,2.51,2.57,6.37,2.13,2.62,NA,2.5,NA,NA,NA,1.98,3.03,2.01,2.18,2.3,2.4,2.44,2.61,2.6,2.67,2.72,2.74,3.59,2.2,2.77,2.82
22:1n-7,0.26,0.19,0.32,0.23,0.23,0.2,0.32,0.29,0.25,0.48,0.32,0.33,0.33,0.26,0.4,NA,0.36,NA,NA,NA,0.28,0.48,0.42,0.4,0.35,0.45,0,0.35,0.35,0.42,0.41,0.31,0.37,0.4,0.51,0.43
21:5n-3,0,0,0,0,0,0,0,0,0.32,0.11,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.03,0.08,0.05,0.09,0,0,0,0
23:00,0.19,0.25,0.48,0.42,0.76,0.13,1.16,0.67,0.18,0.03,0.07,0.08,0.07,0.09,0.11,NA,0.07,NA,NA,NA,0.19,0.03,0.31,0.06,0,0.1,0,0.06,0.02,0.2,0.09,0.15,0,0.08,0.15,0.12
22:4n-6?,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0.01,0.02,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02
22:5n-6?,0,0,0.07,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.03,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03
22:4n-3?,0,0.09,0.11,0.09,0.09,0.15,0,0.15,0,0.01,0.02,0.02,0.03,0.03,0.05,NA,0,NA,NA,NA,0,0,0,0,0,0.03,0,0.02,0.02,0,0,0,0,0.03,0.01,0.03
22:1 alc,0,0.07,0.12,0.07,0.07,0.14,0.15,0.14,0,12.61,12.72,12.81,10.91,12.1,11.65,NA,8.12,NA,NA,NA,9.57,11.61,10.03,10.7,12.23,10.26,14.36,13.13,9.57,10.5,10.89,9.71,15.13,12.27,12.34,14.31
22:5n-3,0.24,0.32,0.45,0.29,0.19,0.24,0,0.23,0.1,0.32,0.31,0.55,0.64,0.42,0.49,NA,0.11,NA,NA,NA,0.25,0,0.22,0.39,0.17,0.25,0.17,0.28,0.29,0.35,0.35,0.16,0.24,0.22,0.29,1.08
24:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.03,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.03
24:1n-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0
22:6n-3,23.47,25.47,23.6,33.56,32.68,31.67,28.2,28.86,33.83,3.5,3.38,3.12,3.49,3.97,3.73,NA,5.01,NA,NA,NA,5.33,3.26,4.51,4.47,7.4,3.73,3.47,2.3,4.13,4.23,2.59,6.52,3.28,3.95,2.06,2.79
